Question,Original_answer,Detected_answer
Who did Denver beat in the 2015 AFC Championship game?,New England Patriots,Arizona Cardinals
Who did the Carolina Panthers beat in the 2015 NFC Championship game?,Arizona Cardinals,Arizona Cardinals
Who was the 2015 NFL MVP?,Cam Newton,Cam Newton
Who did the Panthers beat to become the NFC champs?,Arizona Cardinals,Arizona Cardinals
What year did the Carolina Panthers form?,1995.,1995
Who was the Super Bowl 50 MVP?,Von Miller,Von Miller
How many fumbles did Von Miller force in Super Bowl 50?,2,two
Which team held the scoring lead throughout the entire game?,Broncos,Broncos
Which Denver linebacker was named Super Bowl MVP?,linebacker Von Miller,Von Miller
How many solo tackles did Von Miller make at Super Bowl 50?,five solo tackles,five
Who was limited by Denver's defense?,Newton was limited by Denver's defense,Newton
How many times was Cam Newton sacked?,seven,seven
Who won the Super Bowl MVP?,Von Miller,Von Miller
How many turnovers did Cam Newton have?,three,three
How many fumbles did Von Miller force?,two,two
Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,Von Miller
What position does Von Miller play for the Denver Broncos?,linebacker,linebacker
What was the number of solo tackles that Von Miller had in Super Bowl 50?,5,five
How many forced fumbles did Von Miller have during the Super Bowl 50 game?,2,two
Who won the MVP for the Super Bowl?,Von Miller,Von Miller
How many tackles did Von Miller get during the game?,5,five
How many times was Cam Newton sacked in Super Bowl 50?,seven,seven
How many times did the Denver defense force Newton into turnovers?,three,three
Which Newton turnover resulted in seven points for Denver?,a fumble,a fumble
Who was the Most Valuable Player of Super Bowl 50?,Von Miller,Von Miller
What position does Von Miller play?,linebacker,linebacker
How many times was the Panthers' quarterback sacked?,seven,seven
How many times did the Broncos cause turnovers in the game?,three,three
What Denver player caused two fumbles for the Panthers?,Von Miller,Von Miller
How many tackles did Von Miller accomlish by himself in the game?,five,five
Which network broadcasted Super Bowl 50 in the U.S.?,CBS,CBS
What was the average cost for a 30 second commercial during Super Bowl 50?,$5 million,$ 5 million
Which group headlined the Super Bowl 50 halftime show?,Coldplay,Coldplay
Which performers joined the headliner during the Super Bowl 50 halftime show?,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars
At which Super Bowl did Beyonce headline the halftime show?,Super Bowl XLVII,Super Bowl 50
Who was the broadcaster for Super Bowl 50 in the United States?,CBS,CBS
What was the average cost of a 30-second commercial?,$5 million,$ 5 million
What halftime performer previously headlined Super Bowl XLVII?,Beyoncé,Beyoncé and Bruno Mars
What halftime performer previously headlined Super Bowl XLVIII?,Bruno Mars,Beyoncé and Bruno Mars
Who was the main performer at this year's halftime show?,Coldplay,Beyoncé and Bruno Mars
Which network broadcasted the 50th Super Bowl game? ,CBS,CBS
What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,$5 million,$ 5 million
Who was the male singer who performed as a special guest during Super Bowl 50?,Bruno Mars,Beyoncé and Bruno Mars
What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?,third,third
What station aired the Super Bowl?,CBS,CBS
How much money did a 1/2 minute commercial cost?,$5 million,$ 5 million
What band headlined half-time during Super Bowl 50?,Coldplay,Coldplay
What two artists came out with Coldplay during the half-time show?,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars
Who broadcast the Super Bowl on TV?,CBS,CBS
Who headlined the halftime show for Super Bowl 50?,Coldplay,Coldplay with special guest performers Beyoncé and Bruno Mars
